eyebrow;’aɪbraʋ;de wenkbrauw;m;
ear;ɪər;het oor;n;
forehead;’fɔ:rɪd;het voorhoofd;n;
nose;nəʋz;de neus;m;
cheek;tʃi:k;de wang;m;
mouth;maʋƟ;de mond;m;
lip;lɪp;de lip;m;
chin;tʃɪn;de kin;m;
jaw;dʒɔ:;de kaak;m;
tooth;tu:Ɵ;de tand;m;
tongue;tʌŋ;de tong;m;
**Organs;;**Organen;;
brain;breɪn;de hersenen;pl;
lungs;lʌŋz;de longen;mpl;
heart;hɑ:rt;het hart;n;
stomach;’stʌmək;de maag;m;
intestine;ɪn’testɪn;de darm;m;
liver;’lɪvər;de lever;m;
kidneys;;de nieren;mpl;
spleen;spli:n;de milt;m;
bladder;’blædər;de blaas;m;
**Daily activities;;**Dagelijkse activiteiten;;
sleep;sli:p;slapen;;
wake up;weɪk ʌp;wakker worden;;
get up;get ʌp;opstaan;;
have a shower;hæv ə ’ʃaʋər;douchen;;
shave;ʃeɪv;zich scheren;;
jog;dʒɒg;joggen;;
comb;kəʋm;haren kammen;;
brush teeth;brʌʃ ti:Ɵ;tanden poetsen;;
dress;dres;zich aankleden;;
cook;kʋk;koken;;
eat;i:t;eten;;
drink;drɪŋk;drinken;;
go to work;gəʋ tə wɜ:rk;naar het werk gaan;;
drive a car;draɪv ə kɑ:r;autorijden;;
take a bus;teɪk ə bʌs;de bus nemen;;
buy;baɪ;kopen;;
choose;tʃu:z;kiezen;;
watch TV;wɒtʃ ‚ti:’vi:;televisie kijken;;
clean the house;kli:n ðə haʋs;het huis schoonmaken;;
iron;’aɪərn;strijken;;
wash up;wɒʃ ʌp;afwassen;;
go to bed;gəʋ tə bed;naar bed gaan;;
**Verbs;;**Werkwoorden;;
stand;stænd;staan;;
sit;sɪt;zitten;;
lie;laɪ;liggen;;
go in;’gəʋ‚ɪn;naar binnen gaan;;
go out;’gəʋ‚aʋt;naar buiten gaan;;
come;kʌm;komen;;
leave;li:v;weggaan;;
go;gəʋ;gaan;;
run;rʌn;rennen;;
jump;dʒʌmp;springen;;
fall;fɔ:l;vallen;;
stop;stɒp;stoppen;;
**Verbs 2;;**Werkwoorden 2;;
lay;leɪ;leggen;;
put;pʋt;zetten;;
move;mu:v;verplaatsen;;
hang;hæŋ;ophangen;;
touch;tʌtʃ;aanraken;;
raise;reɪz;optillen;;
take;teɪk;pakken;;
hold;həʋld;vasthouden;;
bring;brɪŋ;brengen;;
give;gɪv;geven;;
get;get;krijgen;;
pull;pʋl;trekken;;
push;pʋʃ;duwen;;
break;breɪk;breken;;
throw;Ɵrəʋ;gooien;;
catch;kætʃ;vangen;;
lose;lu:z;verliezen;;
find;faɪnd;vinden;;
carry;’kærɪ;dragen;;
shake;ʃeɪk;schudden;;
tie;taɪ;vastmaken;;
spill;spɪl;knoeien;;
tear;teər;scheuren;;
bind;baɪnd;vastbinden;;
bend;bend;buigen;;
**Verbs 3;;**Werkwoorden 3;;
breathe;bri:ð;ademen;;
see;si:;zien;;
hear;hɪər;horen;;
taste;teɪst;proeven;;
smell;smel;ruiken;;
think;Ɵɪŋk;denken;;
love;lʌv;houden van;;
laugh;læf;lachen;;
smile;smaɪl;glimlachen;;
cry;kraɪ;huilen;;
dream;dri:m;dromen;;
*General;;*Algemeen;;
**Colors;;**Kleuren;;
black;blæk;zwart;;
white;waɪt;wit;;
red;red;rood;;
orange;’ɒrɪndʒ;oranje;;
yellow;’jeləʋ;geel;;
green;;groen;;
blue;blu:;blauw;;
violet;’vaɪəlɪt;paars;;
pink;;roze;;
brown;braʋn;bruin;;
gray;greɪ;grijs;;
beige;beɪʒ;beige;;
**Numbers;;**Getallen;;
zero;’zɪərəʋ;nul;;
one;wʌn;een;;
two;tu:;twee;;
three;Ɵri:;drie;;
four;fɔ:r;vier;;
five;faɪv;vijf;;
six;sɪks;zes;;
seven;’sevən;zeven;;
eight;eɪt;acht;;
nine;naɪn;negen;;
ten;ten;tien;;
eleven;ɪ’levən;elf;;
twelve;twelv;twaalf;;
thirteen;Ɵɜ:r’ti:n;dertien;;
fourteen;‚fɔ:r’ti:n;veertien;;
fifteen;‚fɪf’ti:n;vijftien;;
sixteen;‚sɪks’ti:n;zestien;;
seventeen;‚sevən’ti:n;zeventien;;
eighteen;eɪ’ti:n;achttien;;
nineteen;‚naɪn’ti:n;negentien;;
twenty;’twentɪ;twintig;;
twenty-one;‚twentɪ’wʌn;eenentwintig;;
thirty;’Ɵɜ:rtɪ;dertig;;
forty;’fɔ:rtɪ;veertig;;
fifty;’fɪftɪ;vijftig;;
sixty;’sɪkstɪ;zestig;;
seventy;’sevəntɪ;zeventig;;
eighty;’eɪtɪ;tachtig;;
ninety;’naɪntɪ;negentig;;
hundred;’hʌndrɪd;honderd;;
two hundred;tu: ’hʌndrɪd;tweehonderd;;
five hundred;‚faɪv’hʌndrɪd;vijfhonderd;;
thousand;’Ɵaʋzənd;duizend;;
million;’mɪljən;miljoen;;
billion;’bɪljən;miljard;;
**Time;;**Tijd;;
one o'clock;wʌn ə’klɒk;één uur;;
two o'clock;tu: ə’klɒk;twee uur;;
three o'clock;Ɵri: ə’klɒk;drie uur;;
four o'clock;fɔ:r ə’klɒk;vier uur;;
five o'clock;faɪv ə’klɒk;vijf uur;;
six o'clock;sɪks ə’klɒk;zes uur;;
seven o'clock;’sevən ə’klɒk;zeven uur;;
eight o'clock;eɪt ə’klɒk;acht uur;;
nine o'clock;;negen uur;;
ten o'clock;ten ə’klɒk;tien uur;;
eleven o'clock;ɪ’levən ə’klɒk;elf uur;;
twelve o'clock;twelv ə’klɒk;twaalf uur;;
**Shapes;;**Vormen;;
circle;’sɜ:rkəl;de cirkel;m;
rectangle;’rek‚tæŋgəl;de rechthoek;m;
oval;’əʋvəl;het ovaal;n;
rhombus;’rɒmbəs;de ruit;f;
triangle;’traɪ‚æŋgəl;de driehoek;m;
square;skweər;het vierkant;n;
*Food and drinks;;*Eten en drinken;;
**Fruits;;**Fruit;;
apple;’æpəl;de appel;m;
apricot;’æprə‚kɒt;de abrikoos;f;
banana;bə’nænə;de banaan;f;
blackberry;’blæk‚berɪ;de bramen;mpl;
blueberry;’blu:‚berɪ;de bosbessen;fpl;
cherry;’tʃerɪ;de kersen;fpl;
cranberry;’kræn‚berɪ;de veenbessen;fpl;
redcurrant;;de rode bessen;fpl;
blackcurrant;‚blæk’kɜ:rənt;de zwarte bessen;fpl;
date;deɪt;de dadel;m;
fig;fɪg;de vijg;f;
gooseberry;’gu:s‚berɪ;de kruisbessen;fpl;
grapefruit;’greɪpfru:t;de grapefruit;m;
grapes;greɪps;de druiven;mpl;
guava;’gwɒvə;de guave;m;
kiwi fruit;’ki:wɪ fru:t;de kiwi;m;
lemon;’lemən;citroen;;
lime;laɪm;de limoen;m;
lychee;’laɪtʃi:;de lychee;f;
tangerine;‚tændʒə’ri:n;de mandarijn;m;
mango;’mæŋgəʋ;de mango;m;
melon;’melən;meloen;;
orange;’ɒrɪndʒ;de sinaasappel;m;
papaya;pə’pɑ:jə;de papaja;m;
peach;pi:tʃ;de perzik;f;
pear;peər;de peer;f;
persimmon;pɜ:r’sɪmən;de kaki;f;
pineapple;’paɪn‚æpəl;ananas;;
plum;plʌm;de pruim;f;
pomegranate;’pɒm‚grænɪt;de granaatappel;m;
raspberry;’ræz‚berɪ;de frambozen;fpl;
strawberry;’strɔ:bərɪ;de aardbeien;fpl;
watermelon;’wɒtər‚melən;watermeloen;;
**Vegetables;;**Groenten;;
asparagus;ə’spærəgəs;de asperge;f;
avocado;‚ævə’kɒdəʋ;de avocado;f;
bean;bi:n;de bonen;mpl;
beet;bi:t;de biet;f;
broccoli;’brɒkəlɪ;de broccoli;m;
cabbage;’kæbɪdʒ;de kool;f;
carrot;’kærət;de wortel;m;
celery;’selərɪ;de selderie;m;
cucumber;’kju:kəmbər;de komkommer;f;
dill;;de dille;f;
eggplant;’egplænt;de aubergine;f;
olive;’ɒlɪv;de olijf;f;
garlic;’gɑ:rlɪk;de knoflook;m;
ginger;’dʒɪndʒər;de gember;m;
onion;’ʌnjən;de ui;m;
sweet pepper;swi:t ’pepər;de paprika;f;
parsley;’pɑ:rslɪ;de peterselie;f;
peas;pi:z;de erwten;fpl;
potato;pə’teɪtəʋ;de aardappel;m;
pumpkin;’pʌmpkɪn;de pompoen;m;
radish;’rædɪʃ;de radijs;f;
spinach;’spɪnɪtʃ;de spinazie;f;
tomato;tə’meɪtəʋ;de tomaat;f;
zucchini;zu:’ki:nɪ;de zucchini;pl;
**Snack;;**Tussendoortje;;
raisin;’reɪzɪn;de rozijnen;fpl;
chocolate;’tʃɒklɪt;de chocola;m;
potato chips;pə’teɪtəʋ tʃɪps;de chips;pl;
popcorn;’pɒp‚kɔ:rn;de popcorn;m;
candy;’kændɪ;het snoep;n;
**Bakery;;**Bakkerij;;
bread;bred;het brood;n;
loaf;ləʋf;het een brood;n;
white bread;waɪt bred;het witbrood;n;
whole grain bread;həʋl greɪn bred;het volkorenbrood;n;
baguette;bæ’get;het stokbrood;n;
**Confectionery;;**Banketbakkerij;;
cake;keɪk;het gebak;n;
pie;paɪ;de taart;f;
doughnut;’dəʋnʌt;de donut;m;
cookies;’kʋkɪz;het koekjes;npl;
muffin;’mʌfɪn;de muffin;m;
pound cake;paʋnd keɪk;de cake;m;
cheesecake;’tʃi:zkeɪk;de kwarktaart;f;
**Breakfast;;**Ontbijt;;
omelet;’ɒmlət;de omelet;f;
fried eggs;fraɪd egz;de uitsmijter;m;
pancake;’pænkeɪk;de pannenkoek;m;
croissant;krwɑ:’sɒn;de croissant;m;
cornflakes;’kɔ:rn‚fleɪks;de cornflakes;pl;
muesli;’mju:zlɪ;de muesli;m;
sandwich;’sændwɪtʃ;het boterham;n;
**Lunch;;**Lunch;;
pizza;’pi:tsə;de pizza;f;
salad;’sæləd;de salade;f;
hot dog;hɒt dɒg;de hotdog;m;
hamburger;’hæm‚bɜ:rgər;de hamburger;m;
chicken wings;’tʃɪkən wɪŋz;het kippenvleugeltjes;npl;
turkey breast;’tɜ:rkɪ brest;de kalkoenborst;m;
soup;su:p;de soep;f;
pasta;’pæstə;de pasta;m;
mashed potatoes;mæʃt pə’teɪtəʋz;de aardappelpuree;f;
rice;raɪs;de rijst;m;
French fries;frentʃ fraɪs;de friet;m;
boiled potatoes;bɔɪld pə’teɪtəʋz;de gekookte aardappelen;mpl;
beefsteak;’bi:f‚steɪk;de biefstuk;m;
fried fish;fraɪd fɪʃ;de gebakken vis;m;
seafood;’si:fu:d;de zeevruchten;fpl;
**Milk products;;**Melkproducten;;
yogurt;’jəʋgərt;de yoghurt;m;
ice cream;’aɪs‚kri:m;het ijs;n;
cheese;tʃi:z;de kaas;m;
cottage cheese;’kɒtɪdʒ tʃi:z;de kwark;m;
butter;’bʌtər;de boter;f;
sour cream;saʋr kri:m;de zure room;m;
milk;mɪlk;de melk;f;
cream;kri:m;de room;m;
**Condiments;;**Kruiden;;
sugar;’ʃʋgər;de suiker;m;
salt;sɔ:lt;het zout;n;
pepper;’pepər;de peper;m;
basil;’bæzəl;het basilicum;n;
soy sauce;sɔɪ sɔ:s;de sojasaus;f;
mayonnaise;‚meɪə’neɪz;de mayonaise;f;
ketchup;’ketʃəp;de ketchup;m;
mustard;’mʌstərd;de mosterd;m;
vinegar;’vɪnəgər;de azijn;m;
**Nuts;;**Noten;;
nut;nʌt;de noot;f;
almonds;’ɑ:məndz;de amandelen;fpl;
cashew;’kæʃu:;de cashewnoten;fpl;
hazelnuts;’heɪzəl‚nʌts;de hazelnoten;fpl;
peanuts;’pi:nʌts;de pinda's;fpl;
pistachios;pɪ’stæʃɪ‚əʋz;de pistachenoten;fpl;
walnuts;’wɔ:lnʌts;de walnoten;fpl;
**Beverages;;**Drankjes;;
water;’wɒtər;het water;n;
tea;ti:;de thee;m;
iced tea;aɪst ti:;de ijsthee;m;
green tea;gri:n ti:;de groene thee;m;
juice;dʒu:s;het sap;n;
lemonade;‚lemə’neɪd;de limonade;f;
bottled water;’bɒtəld ’wɒtər;het mineraalwater;n;
sparkling water;’spɑ:rklɪŋ ’wɒtər;het koolzuurhoudend water;n;
coffee;’kɔ:fɪ, ’kɒfɪ;de koffie;m;
espresso;e’spresəʋ;de espresso;m;
cappuccino;‚kɑ:pə’tʃi:nəʋ;de cappuccino;m;
orange juice;’ɒrɪndʒ dʒu:s;het sinaasappelsap;n;
tomato juice;tə’meɪtəʋ dʒu:s;het tomatensap;n;
apple juice;’æpəl dʒu:s;het appelsap;n;
*Appearance;;*Uiterlijk;;
**Clothes;;**Kleding;;
dress;dres;de jurk;m;
jacket;’dʒækɪt;de jas;m;
jeans;dʒi:ns;de spijkerbroek;m;
denim jacket;’denəm ’dʒækɪt;de spijkerjas;m;
shirt;ʃɜ:rt;het overhemd;n;
T-shirt;’ti:‚ʃɜ:rt;het T-shirt;n;
pants;pænts;de broek;m;
blouse;blaʋs;de blouse;m;
top;tɒp;het topje;n;
skirt;skɜ:rt;de rok;m;
sweater;’swetər;de trui;m;
turtleneck;’tɜ:rtəl‚nek;de coltrui;m;
vest;vest;het gilet;n;
shorts;ʃɔ:rts;de korte broek;m;
tracksuit;’træksu:t;het trainingspak;n;
coat;kəʋt;de lange jas;m;
leather jacket;’leðər ’dʒækɪt;de leren jas;m;
overalls;’əʋvər‚ɔ:lz;de overall;m;
raincoat;’reɪn‚kəʋt;de regenjas;m;
**Underwear;;**Ondergoed;;
stockings;’stɒkɪŋz;de pantykousen;mpl;
panties;’pæntɪz;de onderbroek;m;
undershirt;’ʌndər‚ʃɜ:rt;het hemd;n;
socks;sɒks;de sokken;mpl;
bra;brɑ:;de bh;m;
pantyhose;’pæntɪhəʋz;de panties;pl;
**Sleepwear;;**Pyjama's;;
pajamas;pə’dʒɑ:məz;de pyjama;m;
nightgown;’naɪtgaʋn;het nachtjapon;n;
dressing gown;’dresɪŋ‚gaʋn;de ochtendjas;m;
**Footwear;;**Schoenen;;
slingbacks;’slɪŋbæks;de damessandalen;mpl;
high boots;haɪ bu:ts;de hoge laarzen;mpl;
slippers;’slɪpərz;de slippers;mpl;
shoes;ʃu:z;de schoenen;mpl;
sneakers;’sni:kərz;de sportschoenen;mpl;
boots;bu:ts;de laarzen;mpl;
sandals;’sændəlz;de sandalen;mpl;
**Accessories;;**Accessoires;;
belt;belt;de riem;m;
watch;wɒtʃ;het horloge;n;
tie;taɪ;de stropdas;m;
eyeglasses;’aɪ‚glæsɪz;de bril;m;
gloves;glʌvz;de handschoenen;mpl;
backpack;’bækpæk;de rugzak;m;
briefcase;’bri:f‚keɪs;het koffertje;n;
bag;bæg;de tas;m;
hat;hæt;de hoed;m;
cap;kæp;het petje;n;
woolen hat;’wʋlən hæt;de muts;f;
wallet;’wɒlɪt;de portemonnee;f;
purse;pɜ:rs;de handtas;m;
umbrella;ʌm’brelə;de paraplu;f;
handkerchief;’hæŋkərtʃɪf;de zakdoek;m;
scarf;skɑ:rf;de das;m;
**Jewelry;;**Sieraden;;
ring;rɪŋ;de ring;m;
earrings;’ɪər‚rɪŋz;de oorbellen;mpl;
necklace;’neklɪs;de halsketting;f;
chain;tʃeɪn;de ketting;f;
bracelet;’breɪslɪt;de armband;m;
*Beauty;;*Schoonheid;;
**Beauty salon;;**Schoonheidssalon;;
hairdresser;’heər‚dresər;de kapper;m;
makeup;’meɪkʌp;de make-up;m;
manicure;’mænəkjʋr;de manicure;f;
highlights;’haɪ‚laɪts;de highlights;pl;
hair coloring;heər ’kʌlərɪŋ;het haar verven;n;
**Hairstyle;;**Kapsel;;
part;pɑ:rt;de scheiding;f;
plait;pleɪt;de vlecht;m;
bangs;bæŋz;de pony;m;
curls;kɜ:rlz;de krullen;fpl;
hair spray;’heərspreɪ;de haarlak;m;
mousse;mu:s;de mousse;m;
**Makeup;;**Make-up;;
mascara;mæ’skærə;de mascara;f;
eye shadows;aɪ ’ʃædəʋz;de oogschaduw;f;
powder;’paʋdər;het poeder;n;
lipstick;’lɪp‚stɪk;de lippenstift;m;
lip gloss;lɪp glɒs;de lip gloss;m;
lip liner;lɪp ’laɪnər;de lipliner;m;
eyeliner;’aɪ‚laɪnər;de eyeliner;m;
perfume;’pɜ:rfju:m;het parfum;n;
deodorant;di:’əʋdərənt;de deodorant;m;
cream;kri:m;de crème;f;
Q-tips;’kju:‚tɪps;het wattenstaafjes;npl;
cotton pads;’kɒtən pædz;het wattenschijfjes;npl;
**Manicure;;**Manicure;;
nail polish;’neɪl‚pɒlɪʃ;de nagellak;m;
nail file;neɪl faɪl;de nagelvijl;m;
cuticle scissors;’kju:tɪkəl ’sɪzərz;de nagelschaar;m;
tweezers;’twi:zərz;pincet;;
*Health;;*Gezondheid;;
**Symptoms;;**Symptomen;;
cough;kɒf;de hoest;m;
allergy;’ælərdʒɪ;de allergie;f;
toothache;’tu:Ɵeɪk;de kiespijn;m;
stuffy nose;’stʌfɪ nəʋz;de verkoudheid;f;
pain;peɪn;de pijn;m;
rash;ræʃ;de uitslag;m;
headache;’hed‚eɪk;de hoofdpijn;m;
dizziness;’dɪzɪnɪs;de duizeligheid;f;
sore throat;sɔ:r Ɵrəʋt;de keelpijn;m;
**Injuries;;**Verwondingen;;
bruise;bru:z;de blauwe plek;m;
wound;wu:nd;de wond;f;
burn;bɜ:rn;de brandwond;f;
cut;kʌt;de snee;f;
blister;’blɪstər;de blaar;m;
lump;lʌmp;de bult;m;
fracture;’fræktʃər;de breuk;f;
bite;baɪt;de beet;m;
**Drugstore;;**Apotheek;;
prescription;prɪ’skri:pʃən;het recept;n;
medicine;’medəsən;het medicijn;n;
pill;pɪl;het pilletje;n;
effervescent tablets;‚efər’vesənt ’tæblɪts;het oplostabletten;npl;
drops;drɒps;de druppels;mpl;
ointment;ˈɔɪnt.mənt;de zalf;m;
adhesive plaster;æd’hi:sɪv ’plæstər;de pleister;m;
*Children;;*Kinderen;;
**Toys;;**Speelgoed;;
doll;dɒl;de pop;f;
dinner play set;’dɪnər pleɪ set;het speelgoedservies;n;
dollhouse;’dɒlhaʋs;het poppenhuis;n;
teddy bear;’tedɪ beər;de teddybeer;m;
stuffed animals;stʌft ’ænəməlz;het knuffeldieren;npl;
ball;bɔ:l;de bal;m;
bubble blower;’bʌbəl ’bləʋər;de bellenblaas;f;
puzzle;’pʌzəl;de puzzel;m;
building blocks;’bɪldɪŋ ’blɒks;het blokken;npl;
**Outdoor play;;**Buiten spelen;;
sandbox;’sænd‚bɒks;de zandbak;m;
pail and shovel;peɪl ænd ’ʃʌvəl;de emmer en schepje;m;
swing;swɪŋ;de schommel;m;
slide;slaɪd;de glijbaan;f;
carousel;‚kærə’sel;de draaimolen;m;
jump rope;dʒʌmp rəʋp;het springtouw;n;
trampoline;‚træmpə’lɪn;de trampoline;f;
roller skates;’rəʋlər skeɪts;de rolschaatsen;fpl;
**Nouns;;**Zelfstandige naamwoorden;;
crayons;’kreɪɒnz;het potloden;npl;
coloring book;’kʌlərɪŋ bʋk;het kleurboek;n;
glue;glu:;de lijm;m;
construction paper;kən’strʌkʃən ’peɪpər;het knutselpapier;n;
drawing book;’drɔ:ɪŋ bʋk;het tekenboek;n;
scissors;’sɪzərz;de schaar;f;
paintbox;’peɪntbɒks;de tekendoos;f;
paintbrush;’peɪntbrʌʃ;de kwast;m;
chalk;tʃɔ:k;het krijt;n;
modeling clay;’mɒdəlɪŋ kleɪ;de boetseerklei;f;
felt-tip pen;’felt‚tɪp pen;de viltstift;m;
*Environment;;*Omgeving;;
**Earth;;**Aarde;;
nature;’neɪtʃər;de natuur;f;
ground;graʋnd;de grond;m;
forest;’fɔ:rɪst;het bos;n;
desert;’dezərt;de woestijn;f;
taiga;’taɪgə;de taiga;m;
tundra;’tʌndrə;de toendra;f;
tropics;’trɒpɪks;de tropen;pl;
shore;ʃɔ:r;de oever;m;
bank;bæŋk;de rivieroever;m;
coast;kəʋst;de kust;f;
mountain;’maʋntən;de berg;m;
hill;hɪl;de heuvel;m;
peak;pi:k;de bergtop;m;
volcano;vɒl’keɪnəʋ;de vulkaan;m;
crater;’kreɪtər;de krater;m;
valley;’vælɪ;de vallei;f;
plain;pleɪn;de vlakte;f;
plateau;’plætəʋ;het plateau;n;
cliff;klɪf;de klip;m;
canyon;’kænjən;het ravijn;n;
cave;keɪv;de grot;f;
glacier;’gleɪʃər;de gletsjer;m;
geyser;’gaɪzər;de geiser;m;
**Water;;**Water;;
ocean;’əʋʃən;de oceaan;m;
sea;si:;de zee;f;
gulf;gʌlf;de golf;f;
strait;streɪt;de straat;m;
river;’rɪvər;de rivier;f;
lake;leɪk;het meer;n;
pond;pɒnd;de vijver;m;
brook;brʋk;de beek;f;
current;’kɜ:rənt, ’kʌrənt;de stroming;f;
wave;weɪv;de golf;f;
waterfall;’wɒtər‚fɔ:l;de waterval;m;
lagoon;lə’gu:n;de lagune;f;
puddle;’pʌdəl;de plas;m;
**Weather;;**Het weer;;
sky;skaɪ;de lucht;f;
cloud;klaʋd;de wolk;f;
sun;sʌn;de zon;f;
hail;heɪl;de hagel;m;
rain;reɪn;de regen;m;
thunderstorm;’Ɵʌndər‚stɔ:rm;het onweer;n;
storm;stɔ:rm;de storm;m;
lightning;’laɪtnɪŋ;de bliksem;m;
wind;wɪnd;de wind;m;
fog;fɒg;de mist;m;
rainbow;’reɪnbəʋ;de regenboog;m;
ice;aɪs;het ijs;n;
snow;snəʋ;de sneeuw;m;
**Disasters;;**Rampen;;
tornado;tɔ:r’neɪdəʋ;de tornado;m;
hurricane;’hɜ:rɪ‚keɪn, ’hʌrɪ‚keɪn;de orkaan;m;
tsunami;tsʋ’nɑ:mɪ;de tsunami;pl;
flood;flʌd;de overstroming;f;
earthquake;’ɜ:rƟ‚kweɪk;de aardbeving;f;
eruption;ɪ’rʌpʃən;de vulkaanuitbarsting;f;
forest fires;’fɔ:rɪst ’faɪərs;de bosbranden;mpl;
avalanche;’ævə‚læntʃ;de lawine;f;
mudslide;’mʌd‚slaɪd;de modderstroom;m;
rockfall;’rɒk‚fɔ:l;de steenval;m;
snowfall;’snəʋ‚fɔ:l;de sneeuwval;m;
drought;draʋt;de droogte;f;
**Trees;;**Bomen;;
poplar;’pɒplər;de populier;m;
maple;’meɪpəl;de esdoorn;m;
chestnut;’tʃestnʌt;de kastanjeboom;m;
oak;əʋk;de eik;m;
willow;’wɪləʋ;de wilg;m;
fir tree;fɜ:r tri:;de spar;m;
birch;bɜ:rtʃ;de berk;m;
palm;pɑ:m;de palm;m;
pine tree;paɪn tri:;de den;m;
ash;æʃ;de es;m;
**Flowers;;**Bloemen;;
poppy;’pɒpɪ;de klaproos;f;
daffodil;’dæfədɪl;de narcis;m;
dandelion;’dændɪlaɪən;de paardebloem;m;
aster;’æstər;de aster;m;
daisy;’deɪzɪ;de margriet;f;
lavender;’lævəndər;de lavendel;m;
orchid;’ɔ:rkɪd;de orchidee;f;
peony;’pi:ənɪ;de pioenroos;m;
rose;rəʋz;de roos;f;
chrysanthemum;krɪ’sænƟəməm;de chrysant;m;
snowdrop;’snəʋ‚drɒp;het sneeuwklokje;n;
violet;’vaɪəlɪt;het maarts viooltje;n;
camellia;kə’mi:ljə;de camelia;f;
bellflower;’bel‚flaʋər;de klokjesbloem;m;
lily;’lɪlɪ;de lelie;f;
carnation;kɑ:r’neɪʃən;de anjer;m;
chamomile;’kæmə‚maɪl, ’kæmə‚mi:l;de kamille;f;
magnolia;mæg’nəʋljə;de magnolia;f;
dahlia;’dæljə;de dahlia;f;
tulip;’tu:lɪp;de tulp;m;
iris;’aɪrɪs;de iris;m;
**Wild animals;;**Wilde dieren;;
panda;’pændə;de panda;m;
antelope;’æntə‚ləʋp;de antilope;m;
tiger;’taɪgər;de tijger;m;
panther;’pænƟər;de panter;m;
camel;’kæməl;de kameel;m;
wolf;wʋlf;de wolf;m;
lion;’laɪən;de leeuw;m;
seal;si:l;de zeehond;m;
hyena;haɪ’i:nə;de hyena;f;
fox;fɒks;de vos;m;
hedgehog;’hedʒhɒg;de egel;m;
raccoon;ræ’ku:n;de wasbeer;m;
groundhog;’graʋndhɒg;het aardvarken;n;
mouse;maʋs;de muis;m;
hamster;’hæmstər;de hamster;m;
deer;dɪər;het hert;n;
leopard;’lepərd;het luipaard;n;
hippopotamus;‚hɪpə’pɒtəməs;het nijlpaard;n;
monkey;’mʌŋkɪ;de aap;m;
zebra;’zebrə, ’zi:brə;de zebra;m;
cheetah;’tʃi:tə;het jachtluipaard;n;
buffalo;’bʌfə‚ləʋ;de buffel;m;
boar;bɔ:r;de wild zwijn;m;
rhinoceros;raɪ’nɒsərəs;de neushoorn;m;
hare;heər;de haas;m;
chimpanzee;‚tʃɪmpæn’zi:;de chimpansee;m;
koala;kəʋ’ɑ:lə;de koalabeer;m;
elephant;’eləfənt;de olifant;m;
gopher;’gəʋfər;de grondeekhoorn;m;
mole;məʋl;de mol;m;
jaguar;’dʒægwɑ:r;de jaguar;m;
polar bear;’pəʋlər beər;de ijsbeer;m;
beaver;’bi:vər;de bever;m;
chipmunk;’tʃɪpmʌŋk;de aardeekhoorn;m;
squirrel;’skwɜ:rəl;de eekhoorn;m;
lynx;lɪŋks;de lynx;m;
bear;beər;de beer;m;
